Date,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB
24-Mar-20,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25-Mar-20,Confirmed,90,0,2,0,0,1,0,2,0,0,5,3,4,1,0,5,0,10,9,0,0,8,15,0,0,1,0,0,0,2,6,0,8,4,0,3,1,0
25-Mar-20,Recovered,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Mar-20,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Mar-20,Confirmed,65,1,1,0,0,3,0,3,0,0,1,0,5,1,0,3,0,4,19,0,0,5,3,0,0,0,0,1,0,2,2,0,3,3,0,4,0,1
26-Mar-20,Recovered,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Mar-20,Deceased,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Mar-20,Confirmed,164,5,2,0,0,2,1,0,0,0,4,0,4,1,0,6,0,9,39,0,0,9,31,0,0,0,0,0,0,5,10,0,9,15,0,7,0,5
27-Mar-20,Recovered,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
27-Mar-20,Deceased,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Mar-20,Confirmed,143,3,6,0,0,2,0,1,0,0,9,0,8,2,0,13,0,17,6,0,0,10,30,0,0,0,0,0,0,0,4,0,4,8,0,16,1,3
28-Mar-20,Recovered,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28-Mar-20,Deceased,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29-Mar-20,Confirmed,110,0,2,0,0,4,0,0,0,0,23,2,8,0,0,5,0,2,20,0,0,0,17,0,0,0,0,0,0,0,5,0,8,3,0,7,1,3
29-Mar-20,Recovered,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Mar-20,Deceased,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Mar-20,Confirmed,187,1,2,0,0,0,5,1,0,0,25,0,7,1,0,11,0,5,32,0,0,8,17,0,0,0,0,0,0,3,20,0,17,7,0,24,0,1
30-Mar-20,Recovered,49,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,4,0,0,0,14,0,0,0,0,0,0,0,0,0,2,13,0,6,1,0
30-Mar-20,Deceased,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1
31-Mar-20,Confirmed,309,0,21,0,1,6,2,1,0,0,23,0,4,7,0,6,1,13,7,0,0,19,82,0,0,0,0,1,0,1,14,0,57,20,0,8,0,15
31-Mar-20,Recovered,15,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
31-Mar-20,Deceased,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
01-Apr-20,Confirmed,424,0,67,0,15,3,2,0,0,0,32,0,13,0,0,7,0,9,24,0,0,32,33,0,0,0,0,1,2,4,27,0,110,30,0,13,0,0
01-Apr-20,Recovered,16,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01-Apr-20,Deceased,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
02-Apr-20,Confirmed,486,0,38,1,0,5,1,0,0,0,141,0,1,6,3,8,1,14,21,0,0,9,88,1,0,0,0,0,2,1,13,0,75,27,0,11,3,16
02-Apr-20,Recovered,22,0,0,0,0,3,0,1,0,0,2,0,5,0,0,1,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
02-Apr-20,Deceased,14,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03-Apr-20,Confirmed,560,0,15,0,7,2,0,0,0,0,93,1,7,9,0,5,0,4,9,1,0,47,64,0,0,0,0,15,0,6,46,0,102,75,0,46,6,0
03-Apr-20,Recovered,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0
03-Apr-20,Deceased,14,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
04-Apr-20,Confirmed,579,0,28,0,3,1,0,1,0,0,59,1,13,26,7,17,0,16,11,0,0,25,148,0,0,0,0,1,0,12,27,0,74,43,0,60,6,0
04-Apr-20,Recovered,56,0,0,0,0,0,3,0,0,0,8,0,3,1,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,2,22,0,2,1,0,4,0,0
04-Apr-20,Deceased,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
05-Apr-20,Confirmed,609,0,64,0,0,0,0,0,0,0,58,0,20,6,1,14,1,7,8,0,0,14,112,0,0,0,0,18,0,3,60,0,86,62,0,44,4,27
05-Apr-20,Recovered,43,0,3,0,0,0,2,5,0,0,0,0,8,0,0,1,0,1,6,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7
05-Apr-20,Deceased,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0
06-Apr-20,Confirmed,484,0,47,0,0,0,0,0,0,0,22,0,18,20,4,3,1,12,13,0,0,63,121,0,0,0,0,1,0,11,35,0,50,30,1,27,5,0
06-Apr-20,Recovered,65,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,8,3,7,0,8,14,1,0,0,0,0,0,0,0,0,5,12,0,0,0,0
06-Apr-20,Deceased,16,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
07-Apr-20,Confirmed,572,0,11,0,2,6,0,0,0,0,51,0,29,33,9,16,0,12,8,0,0,34,150,0,0,0,0,2,0,20,42,0,69,40,0,27,0,11
07-Apr-20,Recovered,75,0,0,0,0,6,2,1,0,0,4,0,3,2,1,0,0,5,12,0,0,10,9,0,0,0,0,0,1,10,0,0,6,0,0,0,0,3
07-Apr-20,Deceased,27,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,6,12,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
08-Apr-20,Confirmed,565,1,34,0,0,1,0,0,0,0,93,0,11,24,0,33,0,6,9,0,0,51,117,0,0,0,0,0,0,7,40,0,48,49,0,29,4,8
08-Apr-20,Recovered,96,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,13,0,0,4,38,0,0,0,0,0,0,0,20,0,2,0,0,10,1,0
08-Apr-20,Deceased,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,8,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2
09-Apr-20,Confirmed,813,0,15,0,1,19,0,8,0,0,51,0,76,3,1,26,9,16,12,0,0,70,229,0,0,0,0,6,0,24,80,0,96,18,0,49,0,4
09-Apr-20,Recovered,70,10,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,13,0,0,0,8,0,0,0,0,0,0,4,15,0,6,0,0,0,0,3
09-Apr-20,Deceased,46,0,2,0,0,0,0,0,0,0,3,0,2,0,0,1,1,1,0,0,0,9,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10-Apr-20,Confirmed,871,0,18,0,0,2,1,0,0,0,183,0,116,6,0,23,1,10,7,1,0,40,210,0,0,0,0,2,2,21,98,0,77,16,1,23,0,13
10-Apr-20,Recovered,151,0,0,0,0,0,0,0,0,0,2,1,7,4,0,0,0,4,27,1,0,12,63,0,0,0,0,10,0,2,0,0,17,0,0,1,0,0
10-Apr-20,Deceased,22,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11-Apr-20,Confirmed,854,0,24,0,0,4,0,7,0,0,166,0,90,3,4,17,3,8,10,0,0,78,187,0,0,0,0,4,0,7,139,0,58,16,0,19,0,10
11-Apr-20,Recovered,186,0,0,0,0,0,0,0,0,0,0,4,11,0,6,0,0,5,19,0,0,1,20,0,0,0,0,0,0,0,56,0,0,51,0,13,0,0
11-Apr-20,Deceased,40,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,1,6,0,1,2,0,1,0,0
12-Apr-20,Confirmed,758,0,15,0,1,0,2,6,0,0,85,0,48,16,0,21,2,17,2,0,0,33,221,0,0,0,0,0,0,12,104,0,106,28,0,31,0,8
12-Apr-20,Recovered,114,0,2,0,0,11,0,1,0,0,1,0,0,8,4,0,0,15,36,0,0,3,9,0,0,0,0,0,0,3,5,0,6,7,0,0,0,3
12-Apr-20,Deceased,42,0,1,0,0,0,0,0,0,0,5,0,2,1,0,0,1,0,0,0,0,3,22,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2
13-Apr-20,Confirmed,1243,0,19,0,2,2,0,0,0,0,356,0,56,1,0,25,5,15,3,2,0,52,352,0,1,0,0,1,0,6,93,0,98,61,0,75,0,18
13-Apr-20,Recovered,112,0,0,0,0,2,0,0,0,0,3,0,10,7,0,10,0,6,19,1,0,10,12,0,0,0,0,6,0,2,0,0,8,0,0,4,2,10
13-Apr-20,Deceased,27,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14-Apr-20,Confirmed,1031,0,45,0,1,0,0,2,0,0,51,0,78,2,1,8,3,13,8,0,0,127,346,0,0,0,0,5,0,8,108,0,31,52,0,102,2,38
14-Apr-20,Recovered,167,0,4,0,0,1,0,3,0,0,0,0,5,4,1,14,0,11,13,0,0,13,30,0,0,0,0,0,0,2,26,0,23,7,0,1,2,7
14-Apr-20,Deceased,37,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,3,18,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0
15-Apr-20,Confirmed,886,0,41,0,0,6,0,0,0,0,17,0,116,6,2,22,1,19,1,1,0,197,236,0,6,0,0,0,0,2,71,0,38,6,0,75,0,23
15-Apr-20,Recovered,144,0,4,1,2,0,2,4,0,0,10,1,5,2,0,6,0,9,7,0,0,0,36,0,0,0,0,1,0,0,0,0,37,8,1,7,0,1
15-Apr-20,Deceased,27,0,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0
16-Apr-20,Confirmed,1061,0,9,0,2,11,0,3,0,0,62,0,163,11,0,14,1,36,7,0,0,226,285,0,2,0,0,0,0,11,55,0,25,50,0,70,0,18
16-Apr-20,Recovered,258,1,0,0,3,8,0,6,0,0,11,0,9,8,3,2,0,2,27,2,0,6,5,0,0,0,0,0,0,2,17,0,62,68,0,11,0,5
16-Apr-20,Deceased,26,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,1,0,0,1,0,0,2,0,3
17-Apr-20,Confirmed,922,1,38,0,0,2,0,0,0,0,67,0,170,8,3,14,3,44,1,0,0,146,120,0,0,0,0,0,0,14,98,0,56,66,0,44,3,24
17-Apr-20,Recovered,273,0,15,0,4,0,0,1,0,0,20,0,13,21,0,4,0,6,10,0,0,0,31,0,0,0,0,2,0,1,19,0,103,0,0,14,0,9
17-Apr-20,Deceased,38,0,0,0,0,0,0,0,0,0,4,0,5,0,0,1,0,0,0,0,0,14,7,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0
18-Apr-20,Confirmed,1371,2,31,0,0,1,2,0,0,0,186,0,277,9,1,13,1,25,4,0,0,92,327,0,2,0,0,1,0,23,122,0,49,43,0,126,2,32
18-Apr-20,Recovered,426,0,7,0,3,5,0,1,0,0,135,0,7,14,0,9,0,16,2,0,0,57,34,0,0,0,0,3,3,1,17,0,82,0,0,26,0,4
18-Apr-20,Deceased,35,0,2,0,0,1,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2
19-Apr-20,Confirmed,1580,1,44,0,0,10,3,0,0,0,110,0,367,18,0,13,8,6,2,0,0,5,552,0,0,0,0,0,0,10,127,0,105,49,0,125,2,23
19-Apr-20,Recovered,388,0,23,0,5,0,4,0,0,0,83,1,12,4,0,5,0,7,13,0,0,4,142,0,0,0,0,0,0,6,5,0,46,0,0,19,2,7
19-Apr-20,Deceased,38,0,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,2,0,0,0,3,12,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0
20-Apr-20,Confirmed,1239,1,75,0,0,17,0,0,0,0,78,0,196,1,0,14,5,18,6,0,0,78,466,0,0,0,0,13,0,1,98,0,43,14,0,84,2,29
20-Apr-20,Recovered,419,0,27,0,2,0,1,0,0,0,141,0,26,37,0,15,4,1,21,0,0,7,65,1,0,0,0,0,0,1,0,0,46,0,0,13,7,4
20-Apr-20,Deceased,33,0,3,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0
21-Apr-20,Confirmed,1537,1,35,0,0,13,1,0,0,0,75,0,239,4,0,12,0,10,19,0,0,67,552,0,1,0,0,5,0,6,159,0,76,56,0,153,0,53
21-Apr-20,Recovered,703,0,4,0,0,0,0,0,0,0,180,0,8,6,0,10,0,17,16,0,0,10,150,0,0,0,0,6,0,11,69,0,178,8,0,22,1,7
21-Apr-20,Deceased,53,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,4,19,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3
22-Apr-20,Confirmed,1292,1,56,0,0,17,0,0,0,0,92,0,229,9,0,27,0,9,11,0,0,35,431,0,0,0,0,4,0,27,153,0,33,15,0,112,0,31
22-Apr-20,Recovered,394,0,24,0,0,0,0,3,0,0,113,0,40,11,0,11,0,2,1,0,0,4,67,0,0,0,0,2,0,4,70,0,27,0,0,11,4,0
22-Apr-20,Deceased,36,0,2,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23-Apr-20,Confirmed,1667,4,80,0,1,27,0,0,0,0,128,0,217,6,1,27,7,18,10,0,0,100,778,0,0,0,0,6,0,5,76,0,54,27,0,61,1,33
23-Apr-20,Recovered,642,0,21,0,0,2,0,2,0,0,84,0,79,12,2,0,4,14,8,2,0,51,51,0,0,0,0,1,0,13,107,0,90,58,1,33,1,6
23-Apr-20,Deceased,40,0,3,0,0,0,0,0,0,0,2,0,9,0,0,0,1,0,0,0,0,3,14,0,0,0,0,0,0,1,1,0,2,1,0,3,0,0
24-Apr-20,Confirmed,1393,7,62,0,0,53,0,0,0,0,138,0,191,5,0,20,4,29,3,0,0,159,390,0,0,0,0,5,0,15,70,0,72,0,0,111,1,58
24-Apr-20,Recovered,482,0,4,0,0,0,0,0,0,0,49,0,7,16,0,17,0,7,15,0,0,7,117,0,0,0,0,0,0,4,42,0,114,39,0,20,0,24
24-Apr-20,Deceased,59,0,2,0,0,0,0,0,0,0,3,0,15,0,0,0,0,1,1,0,0,9,18,0,0,0,0,0,0,0,4,0,2,0,0,1,0,3
