SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
26,AR,Arunachal Pradesh,AR_Longding,Longding,302,24,278,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,1475,259,1209,7,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,406,16,389,1,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,1137,288,846,3,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,1096,292,797,7,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,178,9,169,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,9890,767,9076,47,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,122,11,111,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,170,32,137,1,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1307,418,880,9,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,703,17,683,3,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,176,82,93,1,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,525,69,456,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,795,138,654,3,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,1528,221,1301,6,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1125,12,1109,4,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,13,0,13,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,2754,2281,447,26,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,6948,5824,1024,100,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,2736,2338,379,19,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,4020,3137,834,49,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,16307,14672,1498,137,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,1289,1163,105,21,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,1221,988,219,14,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,7357,5563,1730,64,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,3317,2853,440,24,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,5729,4485,1215,29,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,23714,21052,2409,253,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,1709,1505,199,5,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,5578,38,568,51,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,9455,7704,1656,95,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,4584,3449,1116,19,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,4625,3405,1160,60,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,14390,12518,1752,120,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,24201,21946,2074,181,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,87409,71370,15370,669,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,3478,2879,552,47,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,4685,3678,955,52,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,2947,2561,353,33,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,6466,5281,1135,50,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,509,423,80,6,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,6340,5756,557,27,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,15178,12582,2506,90,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,5877,4981,828,68,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,138,137,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,4351,3793,473,85,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,9718,7892,1727,99,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,1370,1310,47,13,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,11937,10004,1798,135,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,3261,2549,666,46,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,554,515,37,2,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,14397,654,13671,72,0,0,0,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,7214,109,7055,50,0,0,0,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,19813,192,19583,38,0,0,0,0,0,,
78,BR,Bihar,BR_Banka,Banka,7290,64,7141,85,0,0,0,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,26631,745,25754,132,0,0,0,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,25471,275,24932,264,0,0,0,0,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,9986,125,9759,102,0,0,0,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,9159,139,8940,80,0,0,0,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,10235,430,9621,184,0,0,0,0,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,18442,510,17806,126,0,0,0,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,33595,372,33037,186,0,0,0,0,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,15929,444,15443,42,0,0,0,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,9260,122,9094,44,0,0,0,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,10694,104,10524,66,0,0,0,0,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,4892,28,4823,41,0,0,0,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,17573,521,17004,48,0,0,0,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,9686,270,9377,39,0,0,0,0,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,9541,545,8965,31,0,0,0,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,7455,146,7269,40,0,0,0,0,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,12005,458,11462,85,0,0,0,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,17805,479,17181,145,0,0,0,0,0,,
95,BR,Bihar,BR_Munger,Munger,14573,433,14002,138,0,0,0,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,30552,515,29747,290,0,0,0,0,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,23074,718,22121,235,0,0,0,0,0,,
98,BR,Bihar,BR_Nawada,Nawada,10024,89,9835,100,0,0,0,0,0,,
100,BR,Bihar,BR_Patna,Patna,144737,1658,141874,1205,0,0,0,0,0,,
102,BR,Bihar,BR_Purnia,Purnia,23420,329,23023,68,0,0,0,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,13728,181,13407,140,0,0,0,0,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,17061,254,16768,39,0,0,0,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,19300,694,18506,100,0,0,0,0,0,,
106,BR,Bihar,BR_Saran,Saran,22524,385,21931,208,0,0,0,0,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,7556,90,7427,39,0,0,0,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,4272,191,4064,17,0,0,0,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,8918,268,8567,83,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,14723,292,14289,142,0,0,0,0,0,,
111,BR,Bihar,BR_Supaul,Supaul,16370,640,15660,70,0,0,0,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,19335,312,18896,126,1,0,0,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,20695,469,19904,322,0,0,0,0,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,60154,1481,57915,758,0,0,0,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,692,17,546,129,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,26639,684,25580,375,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,41581,1644,39491,446,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,19323,2039,17172,112,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,19620,604,18787,229,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,18995,1436,17384,175,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,6038,555,5443,40,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,64654,608,62857,1189,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,9717,339,9357,21,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,26158,826,24812,520,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,95559,854,92937,1768,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,19173,668,18319,186,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,55396,2144,52479,773,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,25173,1887,23096,190,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,22501,531,21705,265,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,12219,673,11453,93,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,53456,1584,51324,548,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,25686,2346,23177,163,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,30541,1253,28943,345,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,23589,1203,22225,161,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,3494,203,3281,10,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,60982,2619,57432,931,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,155979,1110,151768,3101,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,55581,532,54550,499,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,5977,98,5864,15,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,27869,2679,24978,212,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,32324,2490,29601,233,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,22722,619,21896,207,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,11711,882,10688,141,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,5756,58,5690,3,5,0,0,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,3387,72,3288,1,26,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,1104,123,979,0,2,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,200,9,190,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
155,GA,Goa,GA_North Goa,North Goa,2668,1639,964,65,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
156,GA,Goa,GA_South Goa,South Goa,3511,1978,1407,126,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,GJ,Gujarat,GJ_Other State,Other State,162,0,159,3,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,235610,4895,227371,3344,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,10498,602,9801,95,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,9338,458,8834,46,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,5080,315,4691,74,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,13410,319,12931,160,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,11068,616,10339,113,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,21203,987,19927,289,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,2198,230,1926,42,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,3382,81,3265,36,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,9880,136,9706,38,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,853,9,826,18,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,4002,191,3733,78,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,20504,1161,19142,201,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,8039,428,7547,64,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,34448,2189,31796,463,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,19630,1021,18347,262,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,10183,310,9827,46,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,12330,1488,10697,145,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,8076,159,7851,66,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,24208,1581,22452,175,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,6464,76,6301,87,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,5898,223,5662,13,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,6863,430,6410,23,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,11561,344,11147,70,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,11574,465,10981,128,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,3305,356,2930,19,0,0,0,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,56855,240,55897,718,0,0,0,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,9129,458,8521,150,0,0,0,0,0,,
184,GJ,Gujarat,GJ_Surat,Surat,141146,3304,135928,1914,0,0,0,0,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,8080,108,7836,136,0,0,0,0,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,4390,210,4161,19,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,75410,5229,69410,771,0,0,0,0,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,5953,396,5508,49,0,0,0,0,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,12024,619,11333,71,1,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,9883,976,8779,121,7,0,0,0,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,13557,827,12500,229,1,0,0,0,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,43711,3285,39477,945,4,0,0,0,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,2979,374,2570,35,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,8359,541,7672,144,2,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,2582,95,2470,17,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,25487,1231,23911,345,0,0,0,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,23924,1320,22036,564,4,0,0,0,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,14691,925,13579,187,0,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,21587,1301,20003,283,0,0,0,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,12467,914,11327,224,2,0,0,0,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,0,0,0,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,29490,607,28404,479,0,0,0,0,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,21939,929,20518,492,0,0,0,0,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,4932,93,4728,111,0,0,0,0,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,99050,839,97502,709,0,0,0,0,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,17085,767,15925,393,0,0,0,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,180046,1343,177884,819,0,0,0,0,0,,
196,HR,Haryana,HR_Hisar,Hisar,53080,1508,50687,885,0,0,0,0,0,,
0,HR,Haryana,HR_Italians,Italians,0,0,0,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,18535,387,17920,228,0,0,0,0,0,,
198,HR,Haryana,HR_Jind,Jind,20606,676,19480,450,0,0,0,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,10801,512,10017,272,0,0,0,0,0,,
200,HR,Haryana,HR_Karnal,Karnal,39242,1129,37612,501,0,0,0,0,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,21583,574,20703,306,0,0,0,0,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,21491,605,20761,125,0,0,0,0,0,,
203,HR,Haryana,HR_Nuh,Nuh,4868,93,4680,95,0,0,0,0,0,,
204,HR,Haryana,HR_Palwal,Palwal,10107,207,9767,133,0,0,0,0,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,30059,767,28951,341,0,0,0,0,0,,
206,HR,Haryana,HR_Panipat,Panipat,30864,785,29632,447,0,0,0,0,0,,
207,HR,Haryana,HR_Rewari,Rewari,19930,1214,18527,189,0,0,0,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,25534,809,24252,473,0,0,0,0,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,28255,1649,26252,354,0,0,0,0,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,46713,79,46395,239,0,0,0,0,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,23658,708,22608,342,0,0,0,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,18910,312,18329,269,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,5816,289,5474,53,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,10514,376,10028,110,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,15880,290,15219,371,0,0,0,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,4571,114,4412,45,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,49641,167,48464,1010,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,6690,521,6078,91,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,8700,190,8381,129,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,5704,22,5596,86,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,9505,465,9004,36,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,19005,411,18415,179,0,0,0,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,5386,102,5225,59,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,7626,205,7328,93,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,12594,366,12092,136,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,7532,179,7296,57,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,6533,229,6220,84,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,2527,17,2503,7,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,12101,300,11692,109,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,13617,358,13065,194,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,84579,2264,80758,1557,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,4551,56,4453,42,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,7009,311,6632,66,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,6714,347,6279,88,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,12678,167,12382,129,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,14638,3581,10895,162,0,0,0,0,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,8489,850,7547,92,0,0,0,0,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,21488,2512,18716,260,0,0,0,0,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,20417,2148,18090,179,0,0,0,0,0,,
